Date;Open;High;Low;Close
07/03/2011;361.40;361.67;351.31;355.36
04/03/2011;360.07;360.29;357.75;360.00
03/03/2011;357.19;359.79;355.92;359.56
02/03/2011;349.96;354.35;348.40;352.12
01/03/2011;355.47;355.72;347.68;349.31
28/02/2011;351.24;355.05;351.12;353.21
25/02/2011;345.26;348.43;344.80;348.16
24/02/2011;344.02;345.15;338.37;342.88
23/02/2011;338.77;344.64;338.61;342.62
22/02/2011;342.15;345.40;337.72;338.61
18/02/2011;358.71;359.50;349.52;350.56
17/02/2011;357.25;360.27;356.52;358.30
16/02/2011;360.80;364.90;360.50;363.13
15/02/2011;359.19;359.97;357.55;359.90
14/02/2011;356.79;359.48;356.71;359.18
11/02/2011;354.75;357.80;353.54;356.85
10/02/2011;357.39;360.00;348.00;354.54
09/02/2011;355.19;359.00;354.87;358.16
08/02/2011;353.68;355.52;352.15;355.20
07/02/2011;347.89;353.25;347.64;351.88
04/02/2011;343.64;346.70;343.51;346.50
03/02/2011;343.80;344.24;338.55;343.44
02/02/2011;344.45;345.25;343.55;344.32
01/02/2011;341.30;345.65;340.98;345.03
31/01/2011;335.80;340.04;334.30;339.32
28/01/2011;344.17;344.40;333.53;336.10
27/01/2011;343.78;344.69;342.83;343.21
26/01/2011;342.96;345.60;341.50;343.85
25/01/2011;336.33;341.44;334.57;341.40
24/01/2011;326.87;337.45;326.72;337.45
21/01/2011;333.77;334.88;326.63;326.72
20/01/2011;336.43;338.30;330.12;332.68
19/01/2011;348.35;348.60;336.88;338.84
18/01/2011;329.52;344.76;326.00;340.65
14/01/2011;345.89;348.48;344.44;348.48
13/01/2011;345.16;346.64;343.85;345.68
12/01/2011;343.25;344.43;342.00;344.42
11/01/2011;344.88;344.96;339.47;341.64
10/01/2011;338.83;343.23;337.17;342.45
07/01/2011;333.99;336.35;331.90;336.12
06/01/2011;334.72;335.25;332.90;333.73
05/01/2011;329.55;334.34;329.50;334.00
04/01/2011;332.44;332.50;328.15;331.29
03/01/2011;325.64;330.26;324.84;329.57
31/12/2010;322.95;323.48;321.31;322.56
30/12/2010;325.48;325.51;323.05;323.66
29/12/2010;326.22;326.45;325.10;325.29
28/12/2010;325.91;326.66;325.06;325.47
27/12/2010;322.85;325.44;321.52;324.68
23/12/2010;325.00;325.15;323.17;323.60
