Date,Open,High,Low,Close,Volume,Adj Close
2011-03-04,360.07,360.29,357.75,360.00,16168600,360.00
2011-03-03,357.19,359.79,355.92,359.56,17858700,359.56
2011-03-02,349.96,354.35,348.40,352.12,21497400,352.12
2011-03-01,355.47,355.72,347.68,349.31,16261500,349.31
2011-02-28,351.24,355.05,351.12,353.21,14369300,353.21
2011-02-25,345.26,348.43,344.80,348.16,13544800,348.16
2011-02-24,344.02,345.15,338.37,342.88,17833300,342.88
2011-02-23,338.77,344.64,338.61,342.62,23973800,342.62
2011-02-22,342.15,345.40,337.72,338.61,31113900,338.61
2011-02-18,358.71,359.50,349.52,350.56,29077700,350.56
2011-02-17,357.25,360.27,356.52,358.30,18918900,358.30
2011-02-16,360.80,364.90,360.50,363.13,17044800,363.13
2011-02-15,359.19,359.97,357.55,359.90,10126300,359.90
2011-02-14,356.79,359.48,356.71,359.18,11073100,359.18
2011-02-11,354.75,357.80,353.54,356.85,13114400,356.85
2011-02-10,357.39,360.00,348.00,354.54,33126100,354.54
2011-02-09,355.19,359.00,354.87,358.16,17222400,358.16
2011-02-08,353.68,355.52,352.15,355.20,13579500,355.20
2011-02-07,347.89,353.25,347.64,351.88,17299100,351.88
2011-02-04,343.64,346.70,343.51,346.50,11479800,346.50
2011-02-03,343.80,344.24,338.55,343.44,14043100,343.44
2011-02-02,344.45,345.25,343.55,344.32,9238300,344.32
2011-02-01,341.30,345.65,340.98,345.03,15221100,345.03
2011-01-31,335.80,340.04,334.30,339.32,13461000,339.32
2011-01-28,344.17,344.40,333.53,336.10,21116400,336.10
2011-01-27,343.78,344.69,342.83,343.21,10169300,343.21
2011-01-26,342.96,345.60,341.50,343.85,18084500,343.85
2011-01-25,336.33,341.44,334.57,341.40,19436600,341.40
2011-01-24,326.87,337.45,326.72,337.45,20500100,337.45
2011-01-21,333.77,334.88,326.63,326.72,26915000,326.72
2011-01-20,336.43,338.30,330.12,332.68,27290500,332.68
2011-01-19,348.35,348.60,336.88,338.84,40494700,338.84
2011-01-18,329.52,344.76,326.00,340.65,66831600,340.65
2011-01-14,345.89,348.48,344.44,348.48,10998600,348.48
2011-01-13,345.16,346.64,343.85,345.68,10599300,345.68
2011-01-12,343.25,344.43,342.00,344.42,10790700,344.42
2011-01-11,344.88,344.96,339.47,341.64,15814500,341.64
2011-01-10,338.83,343.23,337.17,342.45,16000400,342.45
2011-01-07,333.99,336.35,331.90,336.12,11096800,336.12
2011-01-06,334.72,335.25,332.90,333.73,10709500,333.73
2011-01-05,329.55,334.34,329.50,334.00,9058700,334.00
2011-01-04,332.44,332.50,328.15,331.29,11038600,331.29
2011-01-03,325.64,330.26,324.84,329.57,15883600,329.57
2010-12-31,322.95,323.48,321.31,322.56,6911000,322.56
2010-12-30,325.48,325.51,323.05,323.66,5624800,323.66
2010-12-29,326.22,326.45,325.10,325.29,5826400,325.29
2010-12-28,325.91,326.66,325.06,325.47,6271500,325.47
2010-12-27,322.85,325.44,321.52,324.68,8906600,324.68
2010-12-23,325.00,325.15,323.17,323.60,7969900,323.60
2010-12-22,324.36,325.72,323.55,325.16,9497200,325.16
2010-12-21,323.00,324.39,322.05,324.20,9138700,324.20
2010-12-20,321.60,323.25,318.23,322.21,13731200,322.21
2010-12-17,321.63,321.79,320.23,320.61,13818900,320.61
2010-12-16,321.09,322.61,320.10,321.25,11483500,321.25
2010-12-15,320.00,323.00,319.19,320.36,14836000,320.36
2010-12-14,321.73,322.54,319.00,320.29,12536000,320.29
2010-12-13,324.37,325.06,321.00,321.67,15674000,321.67
2010-12-10,319.65,321.05,318.60,320.56,9375400,320.56
2010-12-09,322.13,322.50,319.02,319.76,10490500,319.76
2010-12-08,319.63,321.02,317.11,321.01,11454600,321.01
2010-12-07,323.80,323.99,318.12,318.21,13939900,318.21
2010-12-06,318.64,322.33,318.42,320.15,15939700,320.15
2010-12-03,317.01,318.65,316.34,317.44,12217600,317.44
2010-12-02,317.53,319.00,314.89,318.15,16529900,318.15
2010-12-01,315.27,317.75,315.00,316.40,16407600,316.40
2010-11-30,313.54,314.36,310.87,311.15,17885800,311.15
2010-11-29,315.50,317.48,311.38,316.87,15898100,316.87
2010-11-26,313.74,317.70,312.94,315.00,8485200,315.00
2010-11-24,312.00,315.40,311.75,314.80,14775900,314.80
2010-11-23,310.45,311.75,306.56,308.73,18504600,308.73
2010-11-22,306.68,313.36,305.87,313.36,13989400,313.36
2010-11-19,307.97,308.40,305.24,306.73,13731700,306.73
2010-11-18,305.20,309.67,304.69,308.43,17610400,308.43
2010-11-17,301.20,303.99,297.76,300.50,17102900,300.50
2010-11-16,305.72,307.60,299.32,301.59,23487500,301.59
2010-11-15,308.46,310.54,306.27,307.04,14382300,307.04
2010-11-12,316.00,316.50,303.63,308.03,28397900,308.03
2010-11-11,315.00,318.40,314.25,316.65,12903000,316.65
2010-11-10,316.64,318.77,313.55,318.03,13722400,318.03
2010-11-09,321.05,321.30,314.50,316.08,13698000,316.08
2010-11-08,317.20,319.77,316.76,318.62,10062800,318.62
2010-11-05,317.99,319.57,316.75,317.13,12901900,317.13
2010-11-04,315.45,320.18,315.03,318.27,22946000,318.27
2010-11-03,311.37,312.88,308.53,312.80,18155300,312.80
2010-11-02,307.00,310.19,307.00,309.36,15497500,309.36
2010-11-01,302.22,305.60,302.20,304.18,15138900,304.18
2010-10-29,304.23,305.88,300.87,300.98,15375400,300.98
2010-10-28,307.95,308.00,300.90,305.24,19680400,305.24
2010-10-27,307.65,309.90,305.60,307.83,14250100,307.83
2010-10-26,306.87,309.74,305.65,308.05,14033200,308.05
2010-10-25,309.09,311.60,308.44,308.84,14016500,308.84
2010-10-22,309.07,310.04,306.30,307.47,13313500,307.47
2010-10-21,312.36,314.74,306.80,309.52,19695000,309.52
2010-10-20,309.00,314.25,306.87,310.53,25772300,310.53
2010-10-19,303.40,313.77,300.02,309.49,44028000,309.49
2010-10-18,318.47,319.00,314.29,318.00,39036100,318.00
2010-10-15,307.44,315.00,304.91,314.74,32935500,314.74
2010-10-14,301.69,302.47,300.40,302.31,15546300,302.31
2010-10-13,300.20,301.96,299.80,300.14,22503300,300.14
2010-10-12,295.41,299.50,292.49,298.54,19948000,298.54
2010-10-11,294.74,297.24,294.60,295.36,15276900,295.36
2010-10-08,291.71,294.50,290.00,294.07,23514400,294.07
2010-10-07,290.34,290.48,286.91,289.22,14585700,289.22
2010-10-06,289.59,291.99,285.26,289.19,23959600,289.19
2010-10-05,282.00,289.45,281.82,288.94,17927400,288.94
2010-10-04,281.60,282.90,277.77,278.64,15546500,278.64
2010-10-01,286.15,286.58,281.35,282.52,16005100,282.52
2010-09-30,289.00,290.00,281.25,283.75,24049700,283.75
2010-09-29,287.23,289.81,286.00,287.37,16773000,287.37
2010-09-28,291.77,291.77,275.00,286.86,36965800,286.86
2010-09-27,293.98,294.73,291.01,291.16,17244100,291.16
2010-09-24,292.10,293.53,290.55,292.32,23196000,292.32
2010-09-23,286.33,292.76,286.00,288.92,28075600,288.92
2010-09-22,282.71,287.98,282.41,287.75,20903200,287.75
2010-09-21,283.86,287.35,282.79,283.77,23859800,283.77
2010-09-20,276.08,283.78,275.85,283.23,23524200,283.23
2010-09-17,277.69,277.96,273.68,275.37,22659900,275.37
2010-09-16,270.24,276.67,269.50,276.57,23289400,276.57
2010-09-15,268.17,270.38,267.84,270.22,15334600,270.22
2010-09-14,266.21,269.17,265.52,268.06,14576800,268.06
2010-09-13,265.82,268.28,265.76,267.04,13885000,267.04
2010-09-10,263.19,264.50,261.40,263.41,13840800,263.41
2010-09-09,265.04,266.52,262.92,263.07,15663400,263.07
2010-09-08,259.78,264.39,259.10,262.92,18805400,262.92
2010-09-07,256.64,259.53,256.25,257.81,12234200,257.81
2010-09-03,255.09,258.78,254.50,258.77,18599600,258.77
2010-09-02,251.26,252.17,248.57,252.17,14836700,252.17
2010-09-01,247.47,251.46,246.28,250.33,24894200,250.33
2010-08-31,241.85,244.56,240.35,243.10,15028100,243.10
2010-08-30,240.76,245.75,240.68,242.50,13688900,242.50
2010-08-27,241.75,242.61,235.56,241.62,19585400,241.62
2010-08-26,245.45,245.75,240.28,240.28,16660900,240.28
2010-08-25,238.04,243.99,237.20,242.89,21316700,242.89
2010-08-24,242.67,243.00,238.65,239.93,21520200,239.93
2010-08-23,251.79,252.00,245.25,245.80,14787200,245.80
2010-08-20,249.39,253.92,249.00,249.64,13722500,249.64
2010-08-19,252.84,253.48,248.68,249.88,15239500,249.88
2010-08-18,252.36,254.67,251.58,253.07,12132000,253.07
2010-08-17,250.08,254.63,249.20,251.97,15094300,251.97
2010-08-16,247.58,250.01,246.62,247.64,11372500,247.64
2010-08-13,251.65,251.88,249.09,249.10,12673900,249.10
2010-08-12,246.69,253.10,246.12,251.79,19104300,251.79
2010-08-11,255.40,255.69,249.81,250.19,22144800,250.19
2010-08-10,259.85,260.45,257.55,259.41,16140000,259.41
2010-08-09,261.48,262.15,259.57,261.75,10826000,261.75
2010-08-06,259.78,261.49,257.63,260.09,15889200,260.09
2010-08-05,261.73,263.18,260.55,261.70,10324900,261.70
2010-08-04,262.84,264.28,260.31,262.98,15013400,262.98
2010-08-03,261.01,263.26,259.42,261.93,14916200,261.93
2010-08-02,260.44,262.59,259.62,261.85,15287700,261.85
2010-07-30,255.89,259.70,254.90,257.25,16007500,257.25
2010-07-29,260.71,262.65,256.10,258.11,22993100,258.11
2010-07-28,263.67,265.99,260.25,260.96,18570900,260.96
2010-07-27,260.87,264.80,260.30,264.08,20884700,264.08
2010-07-26,260.00,260.10,257.71,259.28,15019700,259.28
2010-07-23,257.09,260.38,256.28,259.94,19049600,259.94
2010-07-22,257.68,260.00,255.31,259.02,23047100,259.02
2010-07-21,265.09,265.15,254.00,254.24,42345400,254.24
2010-07-20,242.90,252.90,240.01,251.89,38391100,251.89
2010-07-19,249.88,249.88,239.60,245.58,36588500,245.58
